"年月","指数类别","组别类别","基数年","指数","权数"
"201412","CPIA","2","Index : October 2014 - September 2015 = 100",99.9,0.15
"201412","CPIA","1","Index : October 2014 - September 2015 = 100",97.2,0.22
"201412","CPIA","10","Index : October 2014 - September 2015 = 100",99.5,0.13
"201412","CPIA","11","Index : October 2014 - September 2015 = 100",103.8,0.89
"201412","CPIA","12","Index : October 2014 - September 2015 = 100",100,6.75
"201412","CPIA","3","Index : October 2014 - September 2015 = 100",97.5,0.56
"201501","CPIA","1","Index : October 2014 - September 2015 = 100",97.5,0.22
"201501","CPIA","2","Index : October 2014 - September 2015 = 100",94.3,0.15
"201501","CPIA","3","Index : October 2014 - September 2015 = 100",98.8,0.56
"201501","CPIA","4","Index : October 2014 - September 2015 = 100",100.4,1.83
"201501","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201501","CPIA","6","Index : October 2014 - September 2015 = 100",102.2,0.61
"201501","CPIA","7","Index : October 2014 - September 2015 = 100",99.8,0.27
"201501","CPIA","8","Index : October 2014 - September 2015 = 100",98.7,2.03
"201501","CPIA","9","Index : October 2014 - September 2015 = 100",100.1,0.05
"201501","CPIA","10","Index : October 2014 - September 2015 = 100",99.5,0.13
"201501","CPIA","11","Index : October 2014 - September 2015 = 100",101.3,0.89
"201501","CPIA","12","Index : October 2014 - September 2015 = 100",99.8,6.75
"201501","CPIA","99","Index : October 2014 - September 2015 = 100",100.6,100
"201502","CPIA","1","Index : October 2014 - September 2015 = 100",97.9,0.22
"201502","CPIA","2","Index : October 2014 - September 2015 = 100",95.9,0.15
"201502","CPIA","3","Index : October 2014 - September 2015 = 100",99.8,0.56
"201502","CPIA","4","Index : October 2014 - September 2015 = 100",98.9,1.83
"201502","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201502","CPIA","6","Index : October 2014 - September 2015 = 100",102.7,0.61
"201502","CPIA","7","Index : October 2014 - September 2015 = 100",99.9,0.27
"201502","CPIA","8","Index : October 2014 - September 2015 = 100",96.4,2.03
"201502","CPIA","9","Index : October 2014 - September 2015 = 100",100.1,0.05
"201502","CPIA","10","Index : October 2014 - September 2015 = 100",99.6,0.13
"201502","CPIA","11","Index : October 2014 - September 2015 = 100",101,0.89
"201502","CPIA","12","Index : October 2014 - September 2015 = 100",98.8,6.75
"201502","CPIA","99","Index : October 2014 - September 2015 = 100",101.3,100
"201503","CPIA","1","Index : October 2014 - September 2015 = 100",103,0.22
"201503","CPIA","2","Index : October 2014 - September 2015 = 100",98,0.15
"201503","CPIA","3","Index : October 2014 - September 2015 = 100",100,0.56
"201503","CPIA","4","Index : October 2014 - September 2015 = 100",98.9,1.83
"201503","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201503","CPIA","6","Index : October 2014 - September 2015 = 100",102.4,0.61
"201503","CPIA","7","Index : October 2014 - September 2015 = 100",100.1,0.27
"201503","CPIA","8","Index : October 2014 - September 2015 = 100",98.7,2.03
"201503","CPIA","9","Index : October 2014 - September 2015 = 100",100.1,0.05
"201503","CPIA","10","Index : October 2014 - September 2015 = 100",99.9,0.13
"201503","CPIA","11","Index : October 2014 - September 2015 = 100",97.4,0.89
"201503","CPIA","12","Index : October 2014 - September 2015 = 100",99.2,6.75
"201503","CPIA","99","Index : October 2014 - September 2015 = 100",101.4,100
"201504","CPIA","1","Index : October 2014 - September 2015 = 100",103.1,0.22
"201504","CPIA","2","Index : October 2014 - September 2015 = 100",98.6,0.15
"201504","CPIA","3","Index : October 2014 - September 2015 = 100",101,0.56
"201504","CPIA","4","Index : October 2014 - September 2015 = 100",98.9,1.83
"201504","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201504","CPIA","6","Index : October 2014 - September 2015 = 100",98.4,0.61
"201504","CPIA","7","Index : October 2014 - September 2015 = 100",100.1,0.27
"201504","CPIA","8","Index : October 2014 - September 2015 = 100",98.7,2.03
"201504","CPIA","9","Index : October 2014 - September 2015 = 100",100.1,0.05
"201504","CPIA","10","Index : October 2014 - September 2015 = 100",99.4,0.13
"201504","CPIA","11","Index : October 2014 - September 2015 = 100",96.7,0.89
"201504","CPIA","12","Index : October 2014 - September 2015 = 100",98.9,6.75
"201504","CPIA","99","Index : October 2014 - September 2015 = 100",99.7,100
"201505","CPIA","99","Index : October 2014 - September 2015 = 100",99.9,100
"201505","CPIA","1","Index : October 2014 - September 2015 = 100",102.9,0.22
"201505","CPIA","2","Index : October 2014 - September 2015 = 100",101.2,0.15
"201505","CPIA","3","Index : October 2014 - September 2015 = 100",101.3,0.56
"201505","CPIA","4","Index : October 2014 - September 2015 = 100",100.1,1.83
"201505","CPIA","5","Index : October 2014 - September 2015 = 100",97.1,0.01
"201505","CPIA","6","Index : October 2014 - September 2015 = 100",98.6,0.61
"201505","CPIA","7","Index : October 2014 - September 2015 = 100",100.1,0.27
"201505","CPIA","8","Index : October 2014 - September 2015 = 100",101.6,2.03
"201505","CPIA","9","Index : October 2014 - September 2015 = 100",99.8,0.05
"201505","CPIA","10","Index : October 2014 - September 2015 = 100",99.9,0.13
"201505","CPIA","11","Index : October 2014 - September 2015 = 100",97.4,0.89
